id,target,train_preds,train_probs
4458001,1,1,0.73
4461365,0,0,0.11
4548614,1,1,0.72
4549651,0,0,0.16
4604017,0,0,0.16
4803817,1,1,0.86
4831433,1,1,0.9
4950937,1,1,0.84
5040377,0,0,0.02
5090998,0,0,0.17
5153010,1,1,0.84
5306466,1,1,0.84
5309031,1,1,0.76
5328145,0,0,0.18
5395988,1,1,0.86
5443596,1,1,0.79
5444278,1,1,0.78
5517422,1,1,0.77
5658791,1,1,0.73
5694324,0,0,0.26
5748537,1,1,0.84
5749165,1,1,0.8
5770732,1,1,0.83
5775374,1,1,0.77
5784008,1,1,0.68
5826034,1,1,0.85
5955532,0,0,0.08
5958736,0,0,0.21
6004171,1,1,0.84
6005217,0,0,0.09
6016277,0,0,0.05
6022117,1,1,0.84
6087875,1,1,0.8
6107532,1,1,0.83
6207096,0,0,0.07
6213348,1,1,0.76
6276714,0,0,0.16
6276929,0,0,0.12
6316239,1,1,0.81
6317885,0,0,0.19
6318224,1,1,0.72
6423559,0,0,0.15
6434246,0,0,0.14
6476975,0,0,0.13
6478476,1,1,0.66
6492396,1,1,0.84
6502369,0,0,0.24
6562632,1,1,0.8
6643947,0,0,0.21
6644667,0,0,0.06
6659455,0,0,0.06
6676809,1,1,0.8
6715172,0,0,0.09
6715446,0,0,0.04
6765378,0,0,0.1
6779052,0,0,0.02
6779182,0,0,0.06
6780071,0,0,0.08
6809157,0,0,0.06
6810032,0,0,0.05
6810159,0,0,0.04
6821803,0,0,0.08
6822194,1,1,0.75
6870012,1,1,0.85
6885497,1,1,0.85
6911216,0,0,0.16
6991457,1,1,0.86
6994097,1,1,0.8
7008750,0,0,0.16
7071301,1,1,0.74
7114567,1,1,0.87
7132282,1,1,0.8
7264046,1,1,0.73
7265782,1,1,0.94
7271704,1,1,0.8
7297027,1,1,0.94
7297333,1,1,0.9
7310827,0,0,0.15
7366120,0,0,0.12
7458464,1,1,0.78
7474325,1,1,0.77
7515729,0,0,0.2
7577328,0,0,0.13
7638635,1,1,0.82
7679958,1,1,0.76
7715745,0,0,0.15
7735595,1,1,0.81
7801671,0,0,0.14
7819481,1,1,0.78
7897651,1,1,0.85
7958381,1,1,0.77
8000783,1,1,0.95
8032281,0,0,0.13
8050054,1,1,0.7
8055224,0,0,0.14
8132251,0,0,0.12
8149296,1,1,0.83
8250452,1,1,0.86
8293949,1,1,0.79
8294604,1,1,0.85
8306184,0,0,0.18
8306384,1,1,0.76
8321475,1,1,0.76
8366607,0,0,0.18
8391779,1,1,0.79
8471582,1,1,0.79
8652925,0,0,0.09
8688179,0,0,0.12
8739457,0,0,0.12
8742182,1,1,0.95
8759787,1,1,0.9
8778438,1,1,0.81
8972283,0,0,0.19
9005789,1,1,0.78
9090909,0,0,0.17
9184170,0,0,0.13
9212885,0,0,0.24
9315936,1,1,0.76
9478896,1,1,0.7
9551203,0,0,0.13
9607114,0,0,0.18
9837961,1,1,0.86
9895288,0,0,0.11
9896752,1,1,0.81
10061083,0,0,0.14
10087785,1,1,0.78
10104373,1,1,0.9
10249265,1,1,0.88
10254652,1,1,0.87
10320033,0,0,0.19
10338963,0,0,0.19
10478070,0,0,0.15
10617713,1,1,0.76
10654616,0,0,0.11
10658434,1,1,0.76
10770524,0,0,0.08
10988212,0,0,0.07
10995673,1,1,0.75
11210011,0,0,0.08
11228895,0,0,0.2
11419729,1,1,0.91
11482665,1,1,0.78
11493591,0,0,0.07
11654856,1,1,0.77
11701521,0,0,0.16
11755619,1,1,0.76
11840714,0,0,0.16
11869699,1,1,0.77
11903282,1,1,0.68
11969015,0,0,0.17
11973375,0,0,0.05
12018171,0,0,0.13
12038970,1,1,0.72
12127917,1,1,0.85
12156331,0,0,0.04
12156334,0,0,0.04
12156348,0,0,0.07
12156354,0,0,0.07
12156371,0,0,0.03
12156372,0,0,0.04
12156375,0,0,0.02
12156379,0,0,0.02
12156385,0,0,0.06
12156391,0,0,0.06
12156398,0,0,0.04
12156404,0,0,0.07
12156409,0,0,0.02
12156413,0,0,0.02
12156425,0,0,0.03
12156428,0,0,0.04
12166807,1,1,0.8
12191126,0,0,0.11
12251581,1,1,0.76
12324893,0,0,0.14
12389563,0,0,0.17
12432125,0,0,0.16
12455372,1,1,0.79
12626252,1,1,0.75
12642083,1,1,0.89
12796733,1,1,0.78
12871638,0,0,0.2
12915176,1,1,0.8
12924920,0,0,0.05
13031429,0,0,0.15
13099966,0,0,0.14
13115908,0,0,0.18
13127903,1,1,0.75
13152416,1,1,0.89
13158161,1,1,0.83
13219270,1,1,0.84
13263097,0,0,0.08
13264167,0,0,0.13
13301230,0,0,0.15
13349547,1,1,0.8
13372699,1,1,0.85
13396202,1,1,0.79
13436121,1,1,0.75
13448399,1,1,0.8
13533607,1,1,0.83
13569554,0,0,0.18
13578465,0,0,0.23
13623591,1,1,0.89
13643315,0,0,0.15
13687994,0,0,0.09
13698420,1,1,0.77
13767729,1,1,0.77
13782236,1,1,0.86
13816125,1,1,0.82
13887871,0,0,0.16
13901016,0,0,0.17
13924339,1,1,0.75
13929726,1,1,0.82
13931522,0,0,0.06
13996432,1,1,0.75
14036640,1,1,0.86
14040814,1,1,0.81
14070845,1,1,0.81
14162584,1,1,0.96
14198266,1,1,0.86
14311020,1,1,0.82
14355557,1,1,0.89
14376494,0,0,0.12
14398289,1,1,0.82
14518032,1,1,0.76
14590504,0,0,0.17
14688549,0,0,0.14
14824672,1,1,0.86
14827908,1,1,0.84
14886219,1,1,0.79
14965130,0,0,0.09
15053846,0,0,0.24
15098211,1,1,0.73
15150073,1,1,0.74
15289835,0,0,0.13
15422523,1,1,0.91
15501525,1,1,0.79
15549597,0,0,0.09
15549598,0,0,0.06
15562005,1,1,0.82
15632525,1,1,0.65
15820158,1,1,0.78
15835722,0,0,0.17
15856862,1,1,0.74
15955845,1,1,0.79
15971065,1,1,0.85
16005532,1,1,0.85
16042569,1,1,0.84
16057717,0,0,0.21
16201024,1,1,0.82
16227201,1,1,0.86
16249945,0,0,0.1
16303513,1,1,0.78
16552535,1,1,0.83
16585573,0,0,0.13
16600004,1,1,0.9
16601498,0,0,0.21
16618561,0,0,0.05
16736042,0,0,0.12
16811077,1,1,0.72
16812515,0,0,0.14
16831870,0,0,0.14
16847133,1,1,0.82
16873036,0,0,0.05
16917423,0,0,0.1
16928151,0,0,0.01
16962560,0,0,0.13
16984206,0,0,0.08
17141005,0,0,0.15
17447593,1,1,0.86
17569455,1,1,0.87
17665124,1,1,0.85
17668338,1,1,0.87
17806876,0,0,0.11
17826786,0,0,0.19
17938901,0,0,0.16
17942848,1,1,0.79
17996838,1,1,0.72
18021410,1,1,0.81
18107838,0,0,0.16
18311460,1,1,0.77
18356498,1,1,0.82
18451223,0,0,0.28
18549276,0,0,0.14
18610607,1,1,0.85
18673371,0,0,0.09
18688761,0,0,0.09
18705716,1,1,0.8
18708950,0,0,0.21
18716708,0,0,0.17
18806870,0,0,0.16
18840559,1,1,0.8
18843576,0,0,0.08
18895873,0,0,0.02
18911676,1,1,0.75
18982102,1,1,0.81
19052174,0,0,0.1
19118255,1,1,0.82
19136118,1,1,0.75
19139901,1,1,0.8
19181175,1,1,0.82
19242729,0,0,0.14
19274130,0,0,0.1
19319481,0,0,0.14
19436850,0,0,0.11
19437476,1,1,0.73
19623418,0,0,0.11
19627278,1,1,0.81
19656627,1,1,0.83
19700764,1,1,0.83
19702556,1,1,0.84
19703175,1,1,0.79
19831461,1,1,0.85
19856820,1,1,0.81
19863843,0,0,0.14
19876384,1,1,0.72
19914752,1,1,0.82
19987478,1,1,0.93
20005270,1,1,0.82
20029703,0,0,0.21
20045630,1,1,0.76
20094903,0,0,0.24
20095110,1,1,0.83
20169174,1,1,0.76
20195229,1,1,0.74
20217251,0,0,0.09
20235310,1,1,0.79
20271021,0,0,0.15
20307783,1,1,0.79
20438176,1,1,0.98
20502622,1,1,0.71
20572586,1,1,0.75
20728790,0,0,0.16
20746507,1,1,0.84
20786352,1,1,0.9
20848612,1,1,0.79
20992813,0,0,0.08
21042786,0,0,0.11
21092333,1,1,0.8
21165247,0,0,0.09
21291767,0,0,0.15
21410398,1,1,0.72
21564480,0,0,0.24
21668217,1,1,0.63
21678599,0,0,0.09
21700593,0,0,0.13
21755708,0,0,0.18
21786549,1,1,0.79
21788128,0,0,0.08
21805241,1,1,0.72
21814252,1,1,0.9
21836498,1,1,0.81
21867097,0,0,0.09
21900916,1,1,0.8
21947731,1,1,0.81
21950880,0,0,0.13
21983402,1,1,0.9
21985184,1,1,0.78
22029180,0,0,0.12
22034018,0,0,0.03
22034201,0,0,0.09
22148933,0,0,0.09
22248157,0,0,0.21
22337030,0,0,0.15
22341568,0,0,0.11
22485927,1,1,0.69
22527761,0,0,0.11
22527791,0,0,0.09
22527799,0,0,0.09
22527805,0,0,0.13
22527810,0,0,0.08
22527815,0,0,0.14
22531909,0,0,0.09
22635373,0,0,0.2
22651601,0,0,0.21
22651910,0,0,0.07
22654900,0,0,0.06
22668591,0,0,0.11
22703888,1,1,0.91
22749411,1,1,0.79
22769272,0,0,0.15
22815860,1,1,0.79
22864517,1,1,0.73
22869390,0,0,0.17
22928324,1,1,0.84
22954874,0,0,0.16
22971435,1,1,0.8
23045570,0,0,0.17
23077688,0,0,0.13
23093940,1,1,0.77
23122435,0,0,0.14
23253316,1,1,0.76
23400621,1,1,0.82
23421133,1,1,0.73
23464621,1,1,0.92
23541629,1,1,0.84
23610474,1,1,0.91
23697624,1,1,0.61
23751490,1,1,0.78
23878577,0,0,0.07
23963926,1,1,0.93
23995303,1,1,0.83
24243393,0,0,0.07
24245694,0,0,0.05
24285978,1,1,0.85
24286975,0,0,0.12
24334591,0,0,0.15
24336795,0,0,0.08
24356033,0,0,0.1
24357585,1,1,0.75
24393609,0,0,0.08
24452697,0,0,0.11
24541843,0,0,0.07
24557732,1,1,0.85
24560984,1,1,0.85
24604768,0,0,0.15
24692463,0,0,0.15
24827990,0,0,0.2
24831121,0,0,0.17
24923207,0,0,0.16
25162726,0,0,0.12
25459438,0,0,0.13
25519112,1,1,0.84
25583846,1,1,0.79
25809833,1,1,0.75
25873383,1,1,0.86
25936044,1,1,0.83
26002358,1,1,0.88
26031276,1,1,0.84
26105498,1,1,0.8
26162738,1,1,0.83
26171011,1,1,0.79
26250045,1,1,0.75
26339248,0,0,0.1
26370940,0,0,0.18
26391127,0,0,0.14
26400287,1,1,0.75
26472852,0,0,0.1
26499057,0,0,0.15
26502166,0,0,0.2
26530297,0,0,0.13
26641835,0,0,0.14
26642219,0,0,0.07
26843312,1,1,0.75
26966050,1,1,0.86
26996045,0,0,0.14
27059339,1,1,0.74
27310272,1,1,0.94
27358934,1,1,0.86
27396372,1,1,0.72
27553637,0,0,0.09
27581724,1,1,0.83
27697491,0,0,0.17
27700661,1,1,0.81
27756916,1,1,0.62
27950686,1,1,0.83
28075320,1,1,0.82
28186358,1,1,0.77
28343607,1,1,0.8
28412046,0,0,0.19
28499066,0,0,0.14
28519798,1,1,0.79
28587126,0,0,0.07
28603230,0,0,0.01
28632320,1,1,0.86
28638719,1,1,0.78
28720801,1,1,0.8
28762913,1,1,0.72
28845392,1,1,0.77
28846910,1,1,0.85
28861010,1,1,0.66
28966253,1,1,0.83
28986680,1,1,0.85
29011671,0,0,0.17
29084047,1,1,0.84
29190539,0,0,0.18
29219722,1,1,0.79
29313343,0,0,0.11
29344031,1,1,0.83
29364165,1,1,0.81
29367823,0,0,0.18
29386827,0,0,0.08
29522727,1,1,0.84
29570785,1,1,0.65
29592980,1,1,0.98
29661710,0,0,0.15
29713321,0,0,0.1
29925965,1,1,0.79
29941094,0,0,0.17
29947577,1,1,0.76
29984346,1,1,0.83
30018440,0,0,0.1
30264862,1,1,0.75
30275098,1,1,0.74
30292495,1,1,0.93
30374756,1,1,0.84
30445163,1,1,0.96
30529108,0,0,0.1
30585288,1,1,0.8
30677700,0,0,0.18
30857528,0,0,0.13
31068034,1,1,0.88
31175417,1,1,0.82
31208437,0,0,0.11
31286319,1,1,0.69
31309372,0,0,0.06
31310083,0,0,0.2
31332343,0,0,0.13
31395211,1,1,0.77
31395713,1,1,0.85
31411575,0,0,0.16
31592891,1,1,0.78
31692877,1,1,0.88
31711091,0,0,0.08
31718758,1,1,0.9
31831748,0,0,0.2
31880477,0,0,0.14
31905335,1,1,0.79
32016115,0,0,0.1
32067970,0,0,0.2
32109108,0,0,0.14
32189712,0,0,0.18
32257442,0,0,0.25
32292203,1,1,0.83
32359642,1,1,0.8
32404046,0,0,0.09
32477487,1,1,0.8
32667434,1,1,0.84
32954244,1,1,0.72
32961632,1,1,0.8
32995131,1,1,0.78
33043667,0,0,0.06
33129890,0,0,0.21
33161339,0,0,0.13
33194113,0,0,0.05
33198241,1,1,0.94
33219124,1,1,0.82
33312324,0,0,0.05
33376687,0,0,0.17
33399570,0,0,0.1
33428799,0,0,0.12
33431130,0,0,0.05
33530670,0,0,0.19
33640822,0,0,0.15
33719108,0,0,0.13
33739155,0,0,0.01
33809493,1,1,0.95
33810805,0,0,0.03
33833661,0,0,0.07
33834292,0,0,0.18
33835343,1,1,0.69
33836238,1,1,0.94
33843281,0,0,0.11
33855714,1,1,0.79
33937946,0,0,0.15
34143075,0,0,0.15
34158597,0,0,0.04
34229574,0,0,0.19
34391892,0,0,0.11
34417671,0,0,0.18
34454128,1,1,0.78
34477529,1,1,0.96
34477551,1,1,0.96
34513114,0,0,0.01
34564907,0,0,0.03
34568532,0,0,0.17
34687743,1,1,0.71
34744752,0,0,0.09
34784053,1,1,0.8
34784147,0,0,0.05
34810054,1,1,0.81
34820155,1,1,0.82
34837154,1,1,0.81
34847086,1,1,0.86
34863758,1,1,0.82
34908742,0,0,0.0
34928935,1,1,0.75
35042375,0,0,0.08
35060233,1,1,0.83
35195998,0,0,0.09
35197479,0,0,0.15
35416560,1,1,0.81
35420771,1,1,0.79
35460461,0,0,0.12
35492652,1,1,0.84
35581042,0,0,0.14
35604383,1,1,0.78
35613225,0,0,0.15
35645546,1,1,0.76
35650719,1,1,0.85
35653659,1,1,0.74
35682858,1,1,0.76
35683088,0,0,0.17
35877274,1,1,0.75
35913014,0,0,0.16
35938836,0,0,0.21
36071631,0,0,0.12
36075480,1,1,0.79
36119404,1,1,0.83
36171139,1,1,0.81
36175030,1,1,0.81
36235285,0,0,0.21
36647010,0,0,0.12
36703446,0,0,0.14
36763239,0,0,0.14
36949735,1,1,0.74
36968255,1,1,0.82
37045941,0,0,0.16
37092151,1,1,0.8
37184093,0,0,0.08
37221427,0,0,0.15
37365313,0,0,0.15
37373091,0,0,0.13
37526323,1,1,0.77
37567132,1,1,0.78
37685372,1,1,0.76
37726560,0,0,0.08
37754160,1,1,0.83
37781070,1,1,0.78
37787782,1,1,0.76
37884243,1,1,0.8
37902591,1,1,0.81
37969678,0,0,0.12
38076383,1,1,0.87
38097485,0,0,0.18
38103188,1,1,0.78
38160593,1,1,0.84
38187802,1,1,0.78
38190620,0,0,0.09
38330847,1,1,0.75
38349854,1,1,0.76
38408619,1,1,0.82
38456704,1,1,0.76
38516318,0,0,0.1
38575359,0,0,0.19
38577467,0,0,0.19
38645790,1,1,0.8
38849306,1,1,0.77
38996077,0,0,0.08
39108453,1,1,0.67
39132034,1,1,0.81
39246072,0,0,0.17
39257594,1,1,0.71
39362133,1,1,0.82
39489565,1,1,0.76
39504767,1,1,0.77
39507327,1,1,0.76
39558855,1,1,0.68
39665853,1,1,0.76
39698160,0,0,0.09
39728508,0,0,0.07
39890286,0,0,0.11
39891117,0,0,0.06
39947307,0,0,0.13
40115062,0,0,0.15
40215068,1,1,0.68
40263727,1,1,0.79
40353729,1,1,0.8
40394672,0,0,0.24
40425386,1,1,0.84
40427628,0,0,0.17
40455271,0,0,0.11
40561696,0,0,0.16
40774647,0,0,0.18
40890237,1,1,0.82
40919806,0,0,0.14
40971911,1,1,0.82
41497674,1,1,0.71
41533916,0,0,0.12
41669077,1,1,0.74
41670012,1,1,0.78
41718611,0,0,0.13
41767299,0,0,0.08
41778779,0,0,0.09
41794657,1,1,0.84
41820521,0,0,0.03
41878398,1,1,0.8
41879312,0,0,0.11
41905100,0,0,0.14
41954249,1,1,0.82
42063541,0,0,0.09
42136471,0,0,0.08
42228898,1,1,0.75
42276319,0,0,0.11
42384925,0,0,0.07
42386255,0,0,0.08
42388154,1,1,0.79
42406070,1,1,0.88
42436986,1,1,0.86
42456268,1,1,0.8
42536317,0,0,0.05
42621868,0,0,0.1
42622478,0,0,0.12
42672578,1,1,0.78
42715573,1,1,0.78
42715968,0,0,0.19
42773475,0,0,0.18
42817881,1,1,0.75
42891962,1,1,0.81
42974211,1,1,0.78
43087602,0,0,0.06
43087624,0,0,0.02
43087629,0,0,0.05
43087640,0,0,0.13
43087652,0,0,0.02
43108545,1,1,0.83
43358568,1,1,0.83
43384706,1,1,0.8
43413928,1,1,0.8
43451416,1,1,0.94
43468228,1,1,0.78
43498540,1,1,0.93
43508312,1,1,0.92
43738644,1,1,0.92
43742391,1,1,0.69
43787988,1,1,0.86
43788778,1,1,0.87
43805932,1,1,0.78
43858737,1,1,0.73
44071979,1,1,0.78
44073931,0,0,0.18
44154983,1,1,0.93
44165820,0,0,0.15
44165904,1,1,0.8
44228501,1,1,0.92
44253810,0,0,0.12
44266772,0,0,0.19
44418150,0,0,0.05
44517895,0,0,0.07
44520230,0,0,0.04
44557615,0,0,0.1
44571722,0,0,0.06
44573973,1,1,0.78
44596779,1,1,0.77
44634344,0,0,0.08
44646276,1,1,0.77
44818685,1,1,0.81
44913865,0,0,0.11
45060049,1,1,0.71
45174885,0,0,0.2
45349854,1,1,0.77
45583377,1,1,0.88
45637192,0,0,0.01
45638386,0,0,0.07
45658490,1,1,0.91
45685464,1,1,0.92
45751647,1,1,0.75
45752420,1,1,0.73
45800930,1,1,0.77
45804377,0,0,0.14
45812911,0,0,0.09
45814594,1,1,0.91
45913769,0,0,0.16
45985883,0,0,0.13
46007227,1,1,0.8
46011971,1,1,0.8
46081554,1,1,0.8
46104814,0,0,0.08
46117372,1,1,0.91
46138129,0,0,0.08
46226279,0,0,0.02
46241879,0,0,0.01
46295801,0,0,0.14
46296721,0,0,0.06
46297902,0,0,0.13
46356316,0,0,0.02
46385208,1,1,0.72
46409124,1,1,0.73
46421343,1,1,0.77
46451567,0,0,0.12
46452029,0,0,0.08
46470409,1,1,0.91
46497543,0,0,0.14
46601811,0,0,0.01
46602106,0,0,0.02
46602622,0,0,0.02
46602628,0,0,0.07
46602736,0,0,0.01
46617189,0,0,0.18
46712211,1,1,0.88
46898189,0,0,0.07
46947026,1,1,0.74
47114356,1,1,0.77
47175266,0,0,0.12
47199440,1,1,0.69
47212774,1,1,0.79
47219640,0,0,0.05
47352782,0,0,0.1
47412836,1,1,0.76
47433955,0,0,0.18
47458604,0,0,0.15
47586874,0,0,0.16
47732830,0,0,0.14
47748501,0,0,0.14
47770250,1,1,0.84
47835600,1,1,0.75
47861035,1,1,0.71
47888706,0,0,0.15
47918139,1,1,0.73
47923922,0,0,0.15
47924213,0,0,0.0
47924214,0,0,0.08
47924215,0,0,0.0
47924216,0,0,0.1
47924218,0,0,0.01
47924219,0,0,0.01
47924220,0,0,0.0
47924221,0,0,0.0
47924223,0,0,0.11
47924225,0,0,0.0
47924226,0,0,0.09
47924230,0,0,0.0
47924231,0,0,0.04
47924232,0,0,0.01
47924233,0,0,0.0
47924234,0,0,0.03
47941900,1,1,0.76
48015275,0,0,0.07
48017964,1,1,0.78
48039327,0,0,0.11
48042907,1,1,0.81
48058343,0,0,0.01
48068064,0,0,0.01
48069440,0,0,0.03
48069536,0,0,0.04
48078245,1,1,0.81
48080638,0,0,0.0
48081085,0,0,0.0
48093931,0,0,0.1
48123016,0,0,0.01
48280038,0,0,0.2
48314591,1,1,0.74
48376188,0,0,0.07
48396798,0,0,0.11
48401809,1,1,0.82
48405439,1,1,0.76
48444941,0,0,0.15
48487324,0,0,0.17
48488673,0,0,0.1
48488787,0,0,0.13
48611760,0,0,0.13
48663220,0,0,0.17
48709657,0,0,0.06
48747676,0,0,0.05
48752198,0,0,0.05
48756076,1,1,0.79
48770724,1,1,0.85
48813009,0,0,0.1
48823281,1,1,0.84
48868371,0,0,0.08
48881465,0,0,0.06
48962448,1,1,0.76
48973344,0,0,0.16
48981459,0,0,0.08
48983647,1,1,0.82
48998196,0,0,0.17
48998244,1,1,0.72
49030314,0,0,0.03
49030398,1,1,0.78
49040763,0,0,0.05
49098264,1,1,0.9
49153563,1,1,0.79
49159655,0,0,0.09
49173467,1,1,0.74
49198235,1,1,0.73
49214388,0,0,0.08
49228615,0,0,0.12
49243318,0,0,0.05
49244129,0,0,0.16
49245621,0,0,0.16
49258337,1,1,0.95
49269146,1,1,0.82
49345771,1,1,0.85
49368274,1,1,0.86
49398268,1,1,0.72
49406916,1,1,0.84
49441564,1,1,0.72
49483158,1,1,0.75
49483735,1,1,0.88
49552701,1,1,0.75
49576236,1,1,0.78
49588129,0,0,0.11
49653933,0,0,0.07
49708207,0,0,0.07
49708858,1,1,0.77
49717896,1,1,0.92
49737370,1,1,0.77
49761755,1,1,0.82
49799449,0,0,0.11
49814513,1,1,0.84
49854507,0,0,0.11
49887811,1,1,0.78
49927669,1,1,0.73
49986414,0,0,0.04
49987722,1,1,0.86
50009742,0,0,0.14
50037173,0,0,0.1
50044089,0,0,0.14
50052798,0,0,0.05
50056764,0,0,0.05
50073476,0,0,0.07
50088937,1,1,0.74
50096610,1,1,0.73
50119387,0,0,0.18
50137644,1,1,0.66
50176986,0,0,0.09
50180064,1,1,0.83
50196399,0,0,0.09
50246259,0,0,0.08
50329276,0,0,0.04
50363422,1,1,0.76
50366079,1,1,0.81
50374678,0,0,0.11
50412622,0,0,0.06
50420203,0,0,0.09
50422649,1,1,0.77
50441522,0,0,0.07
50490806,1,1,0.83
50509428,0,0,0.06
50529061,1,1,0.79
50568620,0,0,0.13
50573599,1,1,0.85
50577783,1,1,0.82
50578596,0,0,0.18
50578799,0,0,0.15
50581138,1,1,0.6
50590777,0,0,0.12
50592429,0,0,0.03
50594832,0,0,0.08
50599216,1,1,0.83
50601132,1,1,0.81
50621178,0,0,0.0
50623226,1,1,0.68
50623356,1,1,0.78
50659384,0,0,0.19
50660402,1,1,0.84
50664528,1,1,0.75
50672077,0,0,0.09
50680386,0,0,0.02
50680970,1,1,0.85
50702367,0,0,0.04
50709628,1,1,0.78
50749082,0,0,0.22
50757220,0,0,0.12
50757420,1,1,0.76
50790269,1,1,0.85
50915761,0,0,0.1
50999514,0,0,0.14
51068776,0,0,0.0
51069912,0,0,0.18
51107726,0,0,0.08
51130481,1,1,0.7
51154768,0,0,0.1
51174369,1,1,0.86
51271040,1,1,0.83
51289090,1,1,0.8
51290987,1,1,0.86
51312166,0,0,0.0
51313059,1,1,0.84
51325098,1,1,0.85
51343601,0,0,0.01
51344093,1,1,0.77
51344381,0,0,0.0
51390708,0,0,0.01
51393545,0,0,0.04
51443107,0,0,0.1
51455828,0,0,0.0
51522139,0,0,0.14
51587118,0,0,0.04
51655158,1,1,0.79
51704592,0,0,0.09
51704637,0,0,0.13
51825768,0,0,0.24
51825803,1,1,0.75
51826592,0,0,0.01
51828433,1,1,0.82
51871864,0,0,0.01
51872983,1,1,0.8
51885003,0,0,0.08
51908380,1,1,0.76
51913815,1,1,0.78
52005770,1,1,0.79
52008232,0,0,0.11
52024196,0,0,0.06
52061123,1,1,0.85
52071464,1,1,0.81
52082572,1,1,0.81
52094748,1,1,0.79
52113830,0,0,0.06
52124837,0,0,0.17
52146603,1,1,0.75
52173097,0,0,0.1
52173263,1,1,0.68
52257539,1,1,0.71
52268240,1,1,0.65
52308294,0,0,0.11
52352000,1,1,0.75
52366226,1,1,0.78
52371657,1,1,0.82
52372289,1,1,0.79
52391232,1,1,0.82
52422149,0,0,0.13
52492964,1,1,0.84
52529320,1,1,0.78
52559151,1,1,0.83
52596853,1,1,0.81
52608986,1,1,0.81
52612404,0,0,0.1
52617051,1,1,0.81
52619994,0,0,0.12
52621587,1,1,0.73
52693462,0,0,0.06
52836874,1,1,0.89
52881007,0,0,0.13
52902985,1,1,0.84
52905224,1,1,0.86
52912160,1,1,0.72
52917089,1,1,0.81
52917445,1,1,0.82
53006479,0,0,0.04
53008215,1,1,0.74
53013956,1,1,0.7
53030993,1,1,0.86
53124267,0,0,0.08
53170295,0,0,0.06
53241922,1,1,0.75
53262706,0,0,0.11
53264447,0,0,0.12
53278142,1,1,0.82
53297341,1,1,0.78
53377937,0,0,0.17
53378706,0,0,0.12
53385458,1,1,0.8
53387437,1,1,0.7
53405669,0,0,0.2
53408355,0,0,0.16
53431514,1,1,0.84
53435160,1,1,0.78
53499442,1,1,0.83
53516798,0,0,0.12
53583224,0,0,0.13
53592729,1,1,0.72
53659886,1,1,0.78
53674360,1,1,0.76
53743122,1,1,0.85
53757552,0,0,0.14
53770396,0,0,0.14
53770417,0,0,0.15
53818246,0,0,0.11
53831171,0,0,0.11
53861926,0,0,0.04
53863921,0,0,0.12
53887792,1,1,0.84
53923203,1,1,0.85
53978921,0,0,0.03
54071144,0,0,0.07
54085133,0,0,0.19
54113261,1,1,0.83
54149764,1,1,0.76
54168988,1,1,0.8
54231866,0,0,0.13
54240525,0,0,0.08
